"Key","Notes","English","Chinese","Spanish"
"","","","",""
"Spring Hamlet","","","",""
"","Cutscene Start","","",""
"cutscene0","","Роща находится в основе нашего существования.","","En el centro de nuestra existencia se encuentra Grove.  "
"","","Дерево такое большое и наполненное жизнью, что оно разлилось, заполнив свое основание нашими народами.","","Un árbol tan grande y rebosante de vida, se desbordó, poblando sus cimientos con nuestros pueblos."
"","","И какое-то время мы наслаждались покоем и неугасаемой креативностью.","","Y durante un tiempo, conocimos la paz ilimitada y la creatividad sin límites."
"","","Но это время закончилось, и Роща теперь молчит.","","Pero ese tiempo ha terminado, y Grove ahora está en silencio."
"","","Появились злобные силы, стремящиеся отделить нас от нашего величайшего Защитника.","","Han aparecido fuerzas malévolas que buscan separarnos de nuestro mayor Protector."
"","","Многие приняли опасный вызов вдохновив всех нас принять бой.","","Muchos prestaron atención al desafío de Danger, inspirando un momento de valentía y acción. "
"","","Но их отчаяние и высокомерие привели к их гибели.","","Pero su desesperación y arrogancia significaron su desaparición."
"","","Теперь, в новую эпоху потрясений, судьба сосредоточена на Конкорде, самом молодом из Весенней Деревни.","","Ahora, en una nueva era de confusión, el destino se centra en Concord, la más joven de Spring Hamlet."
"","","Тихий садовник, немногословный и без устремлений ....","","Un jardinero tranquilo de pocas palabras y menos aspiraciones ...."
"","","","",""
"","Tutorial - Kindergarden","","",""
"tutorial_vine0","","Эта Лоза видала лучшие дние.","",""
"tutorial_plum0","","Доброе утро, Конкорд!","",""
"","","Похоже, ты много работаешь.","",""
"","","Ты столько сил тратишь на эту Лозу а она все не хочет расти.","",""
"tutorial_plum1","","Ох блин, и ты все это время сидел тут взаперти?","",""
"","","Мне очень жаль! Давай я открою тебе ворота.","",""
"tutorial_plum2","","После того как мы потеряли Аллио тут все изменилось до неузноваемости и теперь ничего не работает.","",""
"","","У меня благородная работа, но, кажется, даже не смотря на все усилия наша Роща покидает нас.","",""
"","","По крайней мере я могу возвращаться сюда чтобы подышать свежим воздухом.","",""
"","","А ты никогда меня ни о чем не просишь ...","",""
"tutorial_plum3","","Прости, что приехал так поздно. Я попал в неприятности на Колокольном Ряду","",""
"","","Но я собираюсь наверстать упущенное! У меня для тебя есть ^Wподарок.","",""
"","","Бабушка Смит сделала его недавно, сходи и забери его в Деревне!","",""
"tutorial_plum4","","Я знаю, что ты редко выходишь за пределы Детского сада, поэтому возьми эту карту! Не хочу, чтобы ты заблудился, хе-хе.","",""
"","","Весенняя Деревня находится на юго-востоке, прямо через Реку.","",""
"","","Я уже пометил ее на Карте, но ты тоже можешь нанести на карту остальную части Рощи.","",""
"","Tutorial - Riverway","","",""
