"Key","Name","Description","Type","Value","Note Text","Chinese - Name","Chinese - Description","Chinese Note Text","Spanish - Name","Spanish - Description","Spanish - Note","French - Name","French - Desc","French - Note","Japanese - Name","Japanese - Desc ","Japanese - Note Text","Portuguese - Name","Portuguese - Desc","Portuguese - Note Text","Korean - Name","Korean - Desc","Korean - Note"
"inv_tool_pick","Кирка","Инструмент для сбора из Деревни. Гибкий и надежный.","a","1","Собирай предметы отовсюду, ударяя по ним!","","","","SPN - Name","SPN - Desc","","","","","","","","","","","","",""
"inv_tool_hammer","Деревянный Молот","Крепкий инструмент, предназначенный для строительства. Долго замахивается но покрывает большую площадь.","a","1","Удерживайте атаку, чтобы увеличить урон и площадь!","","","","SPN - Name","SPN - Desc","","","","","","","","","","","","",""
"inv_tool_pole","Биоудочка","Летний инструмент, используемый для сбора водных ресурсов.","a","1","Погрузитесь в водные глубины Рощи с помощью этого инструмента!","","","","SPN - Name","SPN - Desc","","","","","","","","","","","","",""
"inv_tool_spade","Садовая лопата","Гигантский инструмент для копания и садоводства. Неуклюжий и медленный.","a","1","Копайте приусадебные участки, чтобы вырастить новую фауну!","","","","SPN - Name","SPN - Desc","","","","","","","","","","","","",""
"inv_tool_parasol","Зонтик","Солнцезонтик. Хорошо изготовлен из сплавного дерева","a","1","Побейте жару! Зонтик делает выпад и быстрый удар.","","","","SPN - Name","SPN - Desc","","","","","","","","","","","","",""
"inv_tool_sickle","Серп","Быстрый и эффективный осенний инструмент для сбора и боя.","a","1","Без пощады! Серп наносит двойной удар для быстрого сбора!","","","","SPN - Name","SPN - Desc","","","","","","","","","","","","",""
"inv_tool_silversword","Серебряный меч","Инструмент, выращенный из Туманов. Использует старую магию растений.","a","1","","","","","SPN - Name","SPN - Desc","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","",""
"inv_shld_hazel","Щит Ореха","Толстый и потертый деревянный щит. Дает вполне надежную защиту.","b","1","","","","","SPN - Name","SPN - Desc","","","","","","","","","","","","",""
"inv_shld_leaf","Щит Листа","Бодрый, блестящий и крепкий лист. На удивление тяжел.","b","1","","","","","SPN - Name","SPN - Desc","","","","","","","","","","","","",""
"inv_shld_seedbag","Мешок для семян","Маленькая сумка с крошечными карманами. Размножает семена с помощью торфа.","b","1","","","","","SPN - Name","SPN - Desc","","","","","","","","","","","","",""
"inv_tool_panflute","Флейта Пана","Любопытная связка из старого тросника. Играет ноты при вдувании.","b","1","","","","","SPN - Name","SPN - Desc","","","","","","","","","","","","",""
"inv_shld_toolbox","Ящик инструментов","Ящик с мелкими инструментами для строительства. Используется в Архитекторами прямо на ходу!","b","1","Покупайте бытовые помещения и помещайте их на Участках","","","","SPN - Name","SPN - Desc","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","",""
"Jar/Dew","Name","Description","Type","Value","Note Text","","","","","","","","","","","","","","","","","",""
"inv_jar_jar","Стеклянная Банка","Самая обычная банка для Росы, не более","jar","","","","","","SPN - Glass Jar","SPN - A classic Jar for dew-drops. Common","","","","","","","","","","","","",""
"inv_jar_phial","Карманный флакон","Быстрая и маленькая баночка из Летнего Бара.","jar","","","","","","SPN - Pocket Phial","SPN - Fast and reliable jar from the Summer Bar. Doesn't hold very much, though.","","","","","","","","","","","","",""
"inv_jar_jug","Большой кувшин","Огроооомный старый кувшин хранителей Росы","jar","","","","","","SPN - Big Jug","SPN - A huuuge ol' tankard. Made for Autumn Town's Dew-hoarders.","","","","","","","","","","","","",""
"inv_jar_flask","Удобная фляга","Создана для холодного климата.","jar","","","","","","SPN - Cozy Flask","SPN - Standard dew container, equipped with a Cozy to resist frost.","","","","","","","","","","","","",""
"inv_jar_draught","Бутыль с зельем","Глубокий сосуд, предназначен для изучения Росы.","jar","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","",""
"inv_dew_flow","Морская роса","Хорошо профильтрованная Роса с морской солью. Отталкивает врагов после разделения.","dew","","","","","","SPN - Sea Dew","SPN - Well-filtered Dew cut with sea salt. Pushes enemies away after splitting.","","","","","","","","","","","","",""
"inv_dew_verdant","Листовая роса","Пульсирующая роса с естественной энергией. Может вызвать быстрый рост Пней.","dew","","","","","","SPN - Leafy Dew","Dew pulsing with natural energy. Leafy Dew can inspire rapid growth in Stumps.","","","","","","","","","","","","",""
"inv_dew_spiced","Пряная роса","Известно, что эта Роса отлично согревает!","dew","","","","","","SPN - Spicy Dew","SPN - This Dew is known to induce a strong feeling of heat!","","","","","","","","","","","","",""
"inv_dew_metal","Металлическая роса","Эта Роса известна своим горьким, укрепляющим вкусом и блестящим послевкусием!","dew","","","","","","SPN - Metallic Dew","SPN - This Dew is known for its bitter, fortifying taste, and shiny finish!","","","","","","","","","","","","",""
"inv_dew_powder","Пудровая роса","Капля Росы илистого происхождения. Уничтожает ближайшие снаряды.","dew","","","","","","SPN - Powdery Dew","SPN - ","","","","","","","","","","","","",""
"inv_dew_rot","Зловонная роса","Роса взятая из канализации. Как вообще это можно пить?","dew","","","","","","SPN - Fetid Dew","SPN - Dew pulled from the Sewers. How could anyone use this swill?","","","","","","","","","","","","",""
